,key,value
0,가*,1
1,가*있,1
2,가*있었,1
3,가*,1
4,가*ㄴ다*,1
5,가,-1
6,가되,-1
7,가되ㄴ,0
8,가되ㄹ,0
9,가되어,-1
10,가되어야지요,1
11,가아니,-1
12,가아니ㄴ가,-1
13,가아니면,1
14,가아니ㅂ니다,-1
15,가,-1
16,가가능,1
17,가가능하,1
18,가가장,-1
19,가가장많이,-1
20,가가장어렵,-1
21,가굵,1
22,가그,-1
23,가그동안,-1
24,가그리,-1
25,가그리밝,-1
26,가극대,-1
27,가극대화,-1
28,가꺾이,-1
29,가꽤,1
30,가꽤맞,1
31,가꿈,0
32,가꿈에,0
33,가나,-1
34,가나오,-1
35,가넘,-1
36,가넘습니다,-1
37,가높,-1
38,가높아,1
39,가느끼,1
40,가느끼어,1
41,가늘,-1
42,가늘고,-1
43,가다르,0
44,가다르게,0
45,가단절,-1
46,가돋아나,-1
47,가둘,0
48,가둘로,0
49,가들,-1
50,가뛰쳐나오,1
51,가막,1
52,가막을,1
53,가막대,1
54,가막대하,1
55,가많,-1
56,가많고,1
57,가많은,-1
58,가많이,1
59,가많이나오,1
60,가맞,-1
61,가맞지,-1
62,가무대,1
63,가무대를,1
64,가바늘,-1
65,가바늘에,-1
66,가보,0
67,가보기,0
68,가살아나,1
69,가삼위일체,1
70,가새,-1
71,가새어,-1
72,가생기,-1
73,가생기ㄴ다,1
74,가생기었,-1
75,가성행,-1
76,가성행하,-1
77,가속하,-1
78,가속하아,-1
79,가쉽,-1
80,가쉽게,-1
81,가쉽지,1
82,가시급,-1
83,가시급하,-1
84,가쏠쏠,1
85,가쏠쏠하,1
86,가아프,0
87,가아프고,0
88,가어우러지,1
89,가얼마나,1
90,가얼마나오랜,1
91,가얼마나종류,1
92,가얼마나좋,1
93,가없,-1
94,가없다,-1
95,가없잖아,-1
96,가열리,1
97,가열리ㄴ다,1
98,가울리,0
99,가울리ㄹ,0
100,가일어나,-1
101,가일정,-1
102,가일정하,-1
103,가잇따르,-1
104,가있,1
105,가있나,1
106,가있다,0
107,가있어,-1
108,가작용,1
109,가작용하,1
110,가장주,0
111,가장주가,0
112,가적,-1
113,가적지,-1
114,가주장,1
115,가주장하,1
116,가죽,-1
117,가죽어,-1
118,가줄,1
119,가줄어,1
120,가짧,-1
121,가차,1
122,가차기,1
123,가차단,-1
124,가차단되,-1
125,가크,1
126,가크게,1
127,가태익,1
128,가태익이,1
129,가특허,-1
130,가특허와,-1
131,가평화,1
132,가평화의,1
133,가풀리,-1
134,가하,-1
135,가하라는,-1
136,가횡행,-1
137,가횡행하,-1
138,가흐르,1
139,가힘,1
140,가힘이,1
141,가,-1
142,가기,1
143,가기시작,1
144,가ㄴ,-1
145,가ㄴ데,-1
146,가네,0
147,가는,-1
148,가는것,-1
149,가는경우,0
150,가ㄹ,-1
151,가ㄹ수,-1
152,가ㅂ시당,1
153,가았,-1
154,가았다,-1
